match_id,prob_H,prob_D,prob_A
9880,0.7418011452368558,0.15825091098386257,0.09994794377928162
9924,0.5706913317009736,0.21878697704933397,0.21052169124969247
9827,0.06364617044228693,0.12729234088457386,0.8090614886731391
9799,0.14530005310674457,0.19883165161975572,0.6558682952734998
9636,0.8774082709534912,0.08614553932997915,0.03644618971652964
9609,0.8438818565400843,0.09367088607594938,0.06244725738396625
9575,0.8168266285480907,0.11946089442515825,0.06371247702675106
9928,0.7404069018799897,0.16482101467937163,0.09477208344063869
9736,0.4469434832756632,0.2502883506343714,0.3027681660899654
9742,0.9083622762489982,0.06358535933742988,0.028052364413572006
9765,0.09542743538767397,0.15904572564612326,0.7455268389662029
9860,0.19806114839671882,0.23519761372110362,0.5667412378821775
9695,0.23863843615804223,0.24538656674348813,0.5159749970984696
9794,0.8450286617908678,0.10515912235619687,0.04981221585293536
9717,0.15854770503220061,0.21969658895916944,0.6217557060086298
9673,0.7950178879024778,0.1261428382138598,0.07883927388366238
9620,0.07936507936507936,0.15873015873015872,0.7619047619047619
9811,0.8316008316008316,0.1185031185031185,0.04989604989604989
9774,0.8774082709534912,0.08614553932997915,0.03644618971652964
9602,0.08701472556894244,0.14725568942436412,0.7657295850066934
9948,0.7780921584478578,0.13561034761519808,0.08629749393694423
9581,0.09531917627782954,0.1657724804831818,0.7389083432389886
9754,0.14675907052588666,0.19078679168365267,0.6624541377904606
267569,0.46444121915820036,0.23802612481857766,0.29753265602322204
266989,0.1821247892074199,0.22765598650927488,0.5902192242833053
266357,0.06364617044228693,0.12729234088457386,0.8090614886731391
266669,0.892349416036044,0.07956782292988059,0.0280827610340755
267670,0.8807288790723358,0.08647156267255661,0.03279955825510768
266516,0.07936507936507936,0.15873015873015872,0.7619047619047619
267039,0.03644618971652964,0.08614553932997915,0.8774082709534912
266477,0.15854770503220061,0.21969658895916944,0.6217557060086298
267101,0.9174311926605506,0.05504587155963304,0.02752293577981652
266440,0.8485931219294327,0.10093791871371147,0.05046895935685573
266033,0.13636363636363635,0.1818181818181818,0.6818181818181818
266273,0.09514304723885564,0.17298735861610115,0.7318695941450433
